Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p03[count=350]_OPT_hplink_720.txt,8447660,6912000,7620700,,,22980360
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p04[count=350]_OPT_hplink_720.txt,8447660,6912000,7620700,7313100,,30293460
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p05[count=350]_OPT_hplink_720.txt,8447660,6912000,7576000,7287000,7109900,37332560
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p02[count=350]_OPT_hplink_720.txt,8447660,6912000,,,,15359660
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/30morn/p01[count=350]_OPT_hplink_720.txt,8447660,,,,,8447660
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p03[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,,,22982120
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p04[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,7546900,,30529020
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p05[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,7546900,7933900,38462920
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p02[count=350]_OPT_hplink_720.txt,8238260,6739200,,,,14977460
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/30morn/p01[count=350]_OPT_hplink_720.txt,8238260,,,,,8238260
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,,,22982120
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,7546900,,30529020
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350]_OPT_hplink_720.txt,8238260,6739200,8004660,7546900,7933900,38462920
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350]_OPT_hplink_720.txt,8238260,6739200,,,,14977460
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350]_OPT_hplink_720.txt,8238260,,,,,8238260
