Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p03[count=350]_OPT_hphase_660.txt,18457380,10828800,11534720,,,40820900
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p04[count=350]_OPT_hphase_660.txt,18457380,10828800,11534720,12779900,,53600800
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p05[count=350]_OPT_hphase_660.txt,18457380,10828800,11534720,9525500,13195300,63541700
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p02[count=350]_OPT_hphase_660.txt,18457380,10828800,,,,29286180
clingcon,660,./heu_105/result/Instancesv2_round/random/fixlen4/26eve/p01[count=350]_OPT_hphase_660.txt,18457380,,,,,18457380
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p03[count=350]_OPT_hphase_660.txt,17969420,14112000,13624180,,,45705600
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p04[count=350]_OPT_hphase_660.txt,20914380,13420800,14103260,14057300,,62495740
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p05[count=350]_OPT_hphase_660.txt,20914380,13420800,14103260,13793700,17480100,79712240
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p02[count=350]_OPT_hphase_660.txt,20914380,13420800,,,,34335180
clingcon,660,./heu_105/result/Instancesv2_round/sipp/fixlen4/26eve/p01[count=350]_OPT_hphase_660.txt,20455180,,,,,20455180
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350]_OPT_hphase_660.txt,17969420,14054400,13624180,,,45648000
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350]_OPT_hphase_660.txt,20848960,13363200,14103260,14149300,,62464720
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350]_OPT_hphase_660.txt,20848960,13363200,14103260,13793700,17480100,79589220
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350]_OPT_hphase_660.txt,20848960,13363200,,,,34212160
clingcon,660,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350]_OPT_hphase_660.txt,20386560,,,,,20386560
