Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p03[count=350]_OPT_hphase_900.txt,23351440,18489600,18982400,,,60823440
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p04[count=350]_OPT_hphase_900.txt,23285840,18489600,18982400,17104000,,77861840
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p05[count=350]_OPT_hphase_900.txt,23285840,18489600,18982400,17104000,18151300,96013140
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p02[count=350]_OPT_hphase_900.txt,23351440,18489600,,,,41841040
clingcon,900,./heu_105/result/Instancesv2_round/sipp/fixlen4/26morn/p01[count=350]_OPT_hphase_900.txt,23351440,,,,,23351440
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350]_OPT_hphase_900.txt,23417040,18489600,18982400,,,60889040
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350]_OPT_hphase_900.txt,23285840,18489600,18982400,17683400,,78441240
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350]_OPT_hphase_900.txt,23285840,18489600,18982400,17169900,18233700,96161440
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350]_OPT_hphase_900.txt,23482640,18489600,,,,41972240
clingcon,900,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350]_OPT_hphase_900.txt,23482640,,,,,23482640
