Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p03[count=350]_OPT_dhxphase_plus_780.txt,20593020,12268800,12814980,,,45676800
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p04[count=350]_OPT_dhxphase_plus_780.txt,20593020,12268800,12814980,14310100,,59986900
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p05[count=350]_OPT_dhxphase_plus_780.txt,20593020,12268800,12814980,14310100,15985200,75972100
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p02[count=350]_OPT_dhxphase_plus_780.txt,20593020,12268800,,,,32861820
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/30noon/p01[count=350]_OPT_dhxphase_plus_780.txt,20593020,,,,,20593020
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p03[count=350]_OPT_dhxphase_plus_780.txt,24946700,16416000,16774940,,,58137640
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p04[count=350]_OPT_dhxphase_plus_780.txt,24942580,16416000,16774940,17571100,,75704620
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p05[count=350]_OPT_dhxphase_plus_780.txt,24942580,16416000,16774940,17571100,19281200,94985820
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p02[count=350]_OPT_dhxphase_plus_780.txt,24946700,16416000,,,,41362700
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/30noon/p01[count=350]_OPT_dhxphase_plus_780.txt,24946700,,,,,24946700
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350]_OPT_dhxphase_plus_780.txt,24966460,16416000,16774940,,,58157400
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350]_OPT_dhxphase_plus_780.txt,24966460,16416000,16774940,17576900,,75734300
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350]_OPT_dhxphase_plus_780.txt,24966460,16416000,16774940,17576900,19281200,95015500
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350]_OPT_dhxphase_plus_780.txt,24974420,16416000,,,,41390420
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350]_OPT_dhxphase_plus_780.txt,24974420,,,,,24974420
